115.01	22
115.03	15
115.05	18
115.07	19
115.09	18
115.11	19
115.13	17
115.15	24
115.17	17
115.19	15
115.21	14
115.23	17
115.25	16
115.27	16
115.29	25
115.31	20
115.33	22
115.35	11
115.37	19
115.39	19
115.41	16
115.43	16
115.45	13
115.47	19
115.49	18
115.51	23
115.53	18
115.55	21
115.57	14
115.59	17
115.61	23
115.63	18
115.65	14
115.67	18
115.69	16
115.71	27
115.73	20
115.75	22
115.77	24
115.79	12
115.81	26
115.83	20
115.85	19
115.87	23
115.89	25
115.91	14
115.93	24
115.95	18
115.97	11
115.99	18
116.01	10
116.03	23
116.05	20
116.07	19
116.09	19
116.11	16
116.13	18
116.15	23
116.17	22
116.19	18
116.21	12
116.23	22
116.25	12
116.27	14
116.29	15
116.31	17
116.33	20
116.35	21
116.37	22
116.39	24
116.41	18
116.43	11
116.45	15
116.47	17
116.49	29
116.51	10
116.53	17
116.55	19
116.57	22
116.59	14
116.61	15
116.63	20
116.65	16
116.67	19
116.69	28
116.71	14
116.73	23
116.75	18
116.77	22
116.79	14
116.81	19
116.83	17
116.85	26
116.87	10
116.89	14
116.91	20
116.93	14
116.95	10
116.97	23
116.99	18
117.01	21
117.03	21
117.05	25
117.07	19
117.09	20
117.11	16
117.13	18
117.15	21
117.17	25
117.19	14
117.21	17
117.23	13
117.25	21
117.27	23
117.29	16
117.31	19
117.33	15
117.35	20
117.37	20
117.39	18
117.41	16
117.43	22
117.45	29
117.47	16
117.49	15
117.51	23
117.53	19
117.55	20
117.57	20
117.59	13
117.61	27
117.63	16
117.65	12
117.67	18
117.69	11
117.71	22
117.73	16
117.75	16
117.77	21
117.79	21
117.81	20
117.83	16
117.85	20
117.87	21
117.89	18
117.91	17
117.93	20
117.95	16
117.97	16
117.99	20
118.01	18
118.03	21
118.05	22
118.07	21
118.09	17
118.11	32
118.13	27
118.15	18
118.17	16
118.19	19
118.21	24
118.23	22
118.25	19
118.27	21
118.29	16
118.31	21
118.33	28
118.35	20
118.37	23
118.39	22
118.41	29
118.43	23
118.45	17
118.47	20
118.49	10
118.51	21
118.53	17
118.55	13
118.57	14
118.59	21
118.61	19
118.63	18
118.65	18
118.67	15
118.69	20
118.71	22
118.73	24
118.75	27
118.77	18
118.79	21
118.81	19
118.83	26
118.85	23
118.87	26
118.89	27
118.91	20
118.93	17
118.95	16
118.97	26
118.99	26
119.01	23
119.03	18
119.05	17
119.07	35
119.09	20
119.11	19
119.13	22
119.15	23
119.17	26
119.19	16
119.21	21
119.23	20
119.25	18
119.27	21
119.29	21
119.31	20
119.33	29
119.35	23
119.37	27
119.39	31
119.41	27
119.43	26
119.45	25
119.47	25
119.49	22
119.51	20
119.53	19
119.55	21
119.57	25
119.59	20
119.61	20
119.63	16
119.65	12
119.67	28
119.69	18
119.71	21
119.73	24
119.75	13
119.77	25
119.79	21
119.81	24
119.83	33
119.85	33
119.87	20
119.89	26
119.91	26
119.93	24
119.95	27
119.97	20
119.99	17
120.01	30
120.03	22
120.05	28
120.07	36
120.09	29
120.11	27
120.13	28
120.15	12
120.17	20
120.19	19
120.21	22
120.23	23
120.25	22
120.27	25
120.29	27
120.31	18
120.33	21
120.35	17
120.37	27
120.39	15
120.41	20
120.43	22
120.45	18
120.47	18
120.49	21
120.51	26
120.53	28
120.55	34
120.57	26
120.59	19
120.61	13
120.63	25
120.65	19
120.67	22
120.69	26
120.71	22
120.73	32
120.75	21
120.77	22
120.79	24
120.81	20
120.83	27
120.85	25
120.87	19
120.89	21
120.91	30
120.93	25
120.95	21
120.97	25
120.99	24
121.01	26
121.03	22
121.05	31
121.07	32
121.09	26
121.11	30
121.13	18
121.15	28
121.17	31
121.19	29
121.21	27
121.23	20
121.25	24
121.27	20
121.29	19
121.31	26
121.33	27
121.35	30
121.37	25
121.39	34
121.41	34
121.43	16
121.45	25
121.47	20
121.49	29
121.51	29
121.53	22
121.55	16
121.57	25
121.59	28
121.61	24
121.63	28
121.65	27
121.67	27
121.69	26
121.71	22
121.73	34
121.75	27
121.77	26
121.79	27
121.81	30
121.83	29
121.85	29
121.87	21
121.89	33
121.91	27
121.93	19
121.95	20
121.97	23
121.99	27
122.01	29
122.03	28
122.05	36
122.07	23
122.09	25
122.11	19
122.13	28
122.15	34
122.17	27
122.19	22
122.21	27
122.23	21
122.25	27
122.27	21
122.29	30
122.31	30
122.33	26
122.35	21
122.37	22
122.39	30
122.41	34
122.43	26
122.45	30
122.47	42
122.49	23
122.51	36
122.53	27
122.55	25
122.57	24
122.59	32
122.61	26
122.63	26
122.65	21
122.67	30
122.69	23
122.71	20
122.73	19
122.75	26
122.77	29
122.79	28
122.81	27
122.83	26
122.85	30
122.87	26
122.89	20
122.91	28
122.93	29
122.95	43
122.97	17
122.99	23
123.01	30
123.03	36
123.05	35
123.07	42
123.09	19
123.11	34
123.13	30
123.15	40
123.17	26
123.19	32
123.21	39
123.23	30
123.25	25
123.27	34
123.29	27
123.31	25
123.33	27
123.35	34
123.37	32
123.39	26
123.41	23
123.43	49
123.45	43
123.47	27
123.49	25
123.51	23
123.53	33
123.55	33
123.57	27
123.59	25
123.61	34
123.63	32
123.65	28
123.67	25
123.69	28
123.71	29
123.73	26
123.75	19
123.77	22
123.79	26
123.81	32
123.83	32
123.85	30
123.87	32
123.89	31
123.91	39
123.93	34
123.95	26
123.97	42
123.99	34
124.01	27
124.03	29
124.05	26
124.07	20
124.09	36
124.11	28
124.13	18
124.15	35
124.17	28
124.19	27
124.21	35
124.23	29
124.25	32
124.27	40
124.29	27
124.31	32
124.33	29
124.35	27
124.37	34
124.39	36
124.41	30
124.43	32
124.45	28
124.47	29
124.49	41
124.51	21
124.53	30
124.55	25
124.57	30
124.59	26
124.61	30
124.63	31
124.65	23
124.67	28
124.69	41
124.71	34
124.73	20
124.75	36
124.77	33
124.79	33
124.81	31
124.83	17
124.85	23
124.87	35
124.89	26
124.91	32
124.93	21
124.95	33
124.97	34
124.99	31
125.01	34
125.03	32
125.05	26
125.07	32
125.09	34
125.11	34
125.13	17
125.15	32
125.17	31
125.19	26
125.21	36
125.23	24
125.25	21
125.27	20
125.29	26
125.31	21
125.33	31
125.35	34
125.37	30
125.39	32
125.41	24
125.43	28
